"","V1","V2"
"1399","sisters","1"
"1400","six","1"
"1401","sketch","1"
"1402","skilfully","1"
"1403","slavery","1"
"1404","slaves","1"
"1405","slowly","1"
"1406","small","1"
"1407","social","14"
"1408","socialism","2"
"1409","socialismâ","1"
"1410","socialist","6"
"1411","society","1"
"1412","socrates","1"
"1413","solution","1"
"1414","solved","1"
"1415","son","1"
"1416","soon","1"
"1417","sought","1"
"1418","soundara","1"
"1419","south","1"
"1420","souvereign","2"
"1421","sovereign","2"
"1422","soviet","3"
"1423","sowed","1"
"1424","spain","1"
"1425","sparked","1"
"1426","speaking","1"
"1427","special","3"
"1428","speech","1"
"1429","speeches","1"
"1430","spheres","1"
"1431","splendid","1"
"1432","spread","4"
"1433","spun","1"
"1434","square","1"
"1435","srilanka","1"
"1436","stagnation","1"
"1437","stalled","1"
"1438","started","11"
"1439","starvation","2"
"1440","starved","1"
"1441","state","12"
"1442","stateâ","1"
"1443","statement","1"
"1444","stations","1"
"1445","statue","3"
"1446","stay","1"
"1447","stayed","1"
"1448","sternly","1"
"1449","stiff","1"
"1450","still","1"
"1451","stones","1"
"1452","stop","1"
"1453","stopping","1"
"1454","stout","1"
"1455","stranded","1"
"1456","street","4"
"1457","streets","2"
"1458","stressed","3"
"1459","strictures","1"
"1460","strike","1"
"1461","strive","1"
"1462","strongly","3"
"1463","struck","1"
"1464","stubbornly","1"
"1465","students","4"
"1466","sub","1"
"1467","subbarayanâ","1"
"1468","subject","2"
"1469","subjugating","1"
"1470","subscribe","1"
"1471","suddenly","1"
"1472","suffer","1"
"1473","suggested","1"
"1474","suggestion","1"
"1475","sundaranar","1"
"1476","sungeipattani","1"
"1477","superior","1"
"1478","superstition","3"
"1479","superstitions","1"
"1480","support","3"
"1481","supported","2"
"1482","supporter","1"
"1483","supporting","1"
"1484","suppress","2"
"1485","supremacy","1"
"1486","supreme","2"
"1487","sustain","1"
"1488","swamygal","1"
"1489","swansong","1"
"1490","sworn","1"
"1491","symbolic","1"
"1492","sympathizer","1"
"1493","system","14"
"1494","taeiping","1"
"1495","take","1"
"1496","taken","2"
"1497","taking","1"
"1498","talks","1"
"1499","taluk","1"
"1500","tamil","62"
"1501","tamilians","3"
"1502","tamils","7"
"1503","tamilsâ","1"
"1504","tar","1"
"1505","task","1"
"1506","tears","1"
"1507","temple","2"
"1508","temples","5"
"1509","term","1"
"1510","test","1"
"1511","th","2"
"1512","thanjavur","2"
"1513","thanthai","3"
"1514","thayammal","1"
"1515","theological","1"
"1516","thereafter","2"
"1517","therefore","1"
"1518","thidal","3"
"1519","thinker","4"
"1520","thinking","2"
"1521","third","1"
"1522","thiru","2"
"1523","thirunelveli","1"
"1524","thiruppathiripuliyur","1"
"1525","thiruvarur","1"
"1526","thiyagaraya","1"
"1527","though","2"
"1528","thousands","2"
"1529","thread","1"
"1530","threatening","1"
"1531","three","4"
"1532","throne","1"
"1533","throughout","2"
"1534","throw","1"
"1535","thrown","2"
"1536","thunderously","1"
"1537","thus","2"
"1538","till","1"
"1539","time","6"
"1540","times","1"
"1541","tiruchirapalli","3"
"1542","tiruchirappalli","3"
"1543","tirunelveli","1"
"1544","tiruppur","2"
"1545","tiruvannamalai","2"
"1546","title","6"
"1547","titles","1"
"1548","toddy","3"
"1549","told","2"
"1550","tongue","1"
"1551","took","2"
"1552","torch","1"
"1553","tortured","1"
"1554","touch","1"
"1555","tour","2"
"1556","toured","2"
"1557","towards","3"
"1558","town","10"
"1559","townâ","1"
"1560","trade","3"
"1561","traders","1"
"1562","training","1"
"1563","transferred","1"
"1564","travelled","1"
"1565","treatment","1"
"1566","trees","1"
"1567","trichi","3"
"1568","triguna","1"
"1569","truchirappalli","1"
"1570","true","2"
"1571","trust","1"
"1572","trusted","1"
"1573","truth","2"
"1574","tube","1"
"1575","turkey","1"
"1576","turned","1"
"1577","tuticorn","1"
"1578","twice","1"
"1579","two","5"
"1580","tyranny","1"
"1581","ugly","1"
"1582","ultimately","1"
"1583","ultravires","1"
"1584","unbearable","4"
"1585","undergo","6"
"1586","undertake","1"
"1587","undertaking","1"
"1588","undertook","3"
"1589","unesco","2"
"1590","union","3"
"1591","united","1"
"1592","universal","1"
"1593","unless","2"
"1594","unmaiâ","1"
"1595","unshakable","1"
"1596","untouchability","1"
"1597","untouchabilityâ","3"
"1598","untouchables","2"
"1599","untouchablesâ","1"
"1600","unveiled","3"
"1601","unyielding","1"
"1602","upholder","1"
"1603","upholding","2"
"1604","upon","2"
"1605","uprightness","1"
"1606","uprising","1"
"1607","uprooted","2"
"1608","upto","1"
"1609","urban","1"
"1610","urged","1"
"1611","urging","1"
"1612","used","2"
"1613","usual","1"
"1614","utilised","1"
"1615","utter","1"
"1616","uttering","1"
"1617","vaigai","1"
"1618","vaikom","2"
"1619","vaikomâ","1"
"1620","vaishnav","1"
"1621","vaishnavite","1"
"1622","van","1"
"1623","varadharajulu","1"
"1624","varanasi","2"
"1625","various","4"
"1626","varnashrama","1"
"1627","varuna","1"
"1628","vast","1"
"1629","vedic","1"
"1630","veeramani","5"
"1631","vehemently","1"
"1632","vellore","1"
"1633","venkata","1"
"1634","vepery","2"
"1635","versatile","1"
"1636","veteran","1"
"1637","vi","2"
"1638","via","1"
"1639","vice","1"
"1640","victim","1"
"1641","victory","1"
"1642","viduthalaiâ","3"
"1643","views","3"
"1644","vijayawada","1"
"1645","vinayaga","1"
"1646","vinoba","1"
"1647","visited","4"
"1648","visuvalised","1"
"1649","viz","2"
"1650","volunteer","1"
"1651","volunteers","3"
"1652","vowed","1"
"1653","voyage","1"
"1654","walk","1"
"1655","wall","1"
"1656","wantonly","1"
"1657","war","1"
"1658","warm","1"
"1659","water","1"
"1660","way","1"
"1661","wealthy","2"
"1662","weapons","1"
"1663","wear","2"
"1664","wearing","2"
"1665","wedding","2"
"1666","wedlock","1"
"1667","weekly","5"
"1668","weigh","1"
"1669","welcome","1"
"1670","welfare","1"
"1671","well","4"
"1672","went","3"
"1673","whole","4"
"1674","widow","2"
"1675","wife","8"
"1676","wily","1"
"1677","wish","1"
"1678","wishes","1"
"1679","within","2"
"1680","without","2"
"1681","wives","1"
"1682","woman","1"
"1683","women","3"
"1684","womenâ","1"
"1685","word","2"
"1686","workers","1"
"1687","workersâ","1"
"1688","works","1"
"1689","workshop","1"
"1690","world","5"
"1691","worship","3"
"1692","worst","1"
"1693","worthy","1"
"1694","wound","1"
"1695","yarn","1"
"1696","year","1"
"1697","years","5"
"1698","young","3"
"1699","younger","1"
"1700","youth","2"
"1701","youthful","1"
